MOLENAME;TherapeuticIndication;TargetedRT;TargetedMZ;DrugPoolNumbers;EstimatedColonConcentrationMaier2018uM;SMILES;STATUS;TradeName;cas;iupacName;molArea;molCACO2;molFormula;molHALFLIFE;molHERG;molLD50;molLogP;molLogS;molPAINS;molPAMPA;molPGPINHIB;molPGPSUBST;molPSA;molVolume;molWeight;name;ref;salt_name;salt_smiles;smiles;source;Number_of_aliphatic_carboxylic_acids;Number_of_aliphatic_hydroxyl_groups;Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH;Number_of_N_functional_groups_attached_to_aromatics;Number_of_Aromatic_carboxylic_acide;Number_of_aromatic_nitrogens;Number_of_aromatic_amines;Number_of_aromatic_hydroxyl_groups;Number_of_carboxylic_acids;Number_of_carboxylic_acids2;Number_of_carbonyl_O;Number_of_carbonyl_O__excluding_COOH;Number_of_thiocarbonyl;Number_of_C_OH_CCN_Ctert_alkyl_or_C_OH_CCNcyclic;Number_of_Imines;Number_of_Tertiary_amines;Number_of_Secondary_amines;Number_of_Primary_amines;Number_of_hydroxylamine_groups;Number_of_XCCNR_groups;Number_of_tert_alicyclic_amines;Number_of_H_pyrrole_nitrogens;Number_of_thiol_groups;Number_of_aldehydes;Number_of_alkyl_carbamates__subject_to_hydrolysis_;Number_of_alkyl_halides;Number_of_allylic_oxidation_sites_excluding_steroid_dienone;Number_of_amides;Number_of_amidine_groups;Number_of_anilines;Number_of_aryl_methyl_sites_for_hydroxylation;Number_of_azide_groups;Number_of_azo_groups;Number_of_barbiturate_groups;Number_of_benzene_rings;Number_of_benzodiazepines_with_no_additional_fused_rings;Bicyclic;Number_of_diazo_groups;Number_of_dihydropyridines;Number_of_epoxide_rings;Number_of_esters;Number_of_ether_oxygens__including_phenoxy_;Number_of_furan_rings;Number_of_guanidine_groups;Number_of_halogens;Number_of_hydrazine_groups;Number_of_hydrazone_groups;Number_of_imidazole_rings;Number_of_imide_groups;Number_of_isocyanates;Number_of_isothiocyanates;Number_of_ketones;Number_of_ketones_excluding_diaryl;Number_of_beta_lactams;Number_of_cyclic_esters__lactones_;Number_of_methoxy_groups__OCH3;Number_of_morpholine_rings;Number_of_nitriles;Number_of_nitro_groups;Number_of_nitro_benzene_ring_substituents;Number_of_non_ortho_nitro_benzene_ring_substituents;Number_of_nitroso_groups__excluding_NO2;Number_of_oxazole_rings;Number_of_oxime_groups;Number_of_para_hydroxylation_sites;Number_of_phenols;Number_of_phenolic_OH_excluding_ortho;Number_of_phosphoric_acid_groups;Number_of_phosphoric_ester_groups;Number_of_piperdine_rings;Number_of_piperzine_rings;Number_of_primary_amides;Number_of_primary_sulfonamides;Number_of_pyridine_rings;Number_of_quarternary_nitrogens;Number_of_thioether;Number_of_sulfonamides;Number_of_sulfone_groups;Number_of_terminal_acetylenes;Number_of_tetrazole_rings;Number_of_thiazole_rings;Number_of_thiocyanates;Number_of_thiophene_rings;Number_of_unbranched_alkanes_of_at_least_4_members;Number_of_urea_groups
BETAMETHASONE ACETATE;antiinflammatory;2.9;434.210468;9  11  16  18;NaN;CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C;USP, BAN, JAN;CELESTOVET;987-24-6;;445.486785;-5.01;C24H31FO6;0.77;0;72.09;2.620078;-4.493559;0.29;-5.41;0.05;0.11;78.894224;509.532256;434.210467;SCHEMBL1116231;"Drug Dev Ind Pharmacy 31:813 (2005); Clin Rheumatol 28:85 (2009)";;;CC(=O)OCC([C@]1([C@@H](C)CC2C3CCC4=CC(C=C[C@]4(C)[C@]3([C@H](C[C@]12C)O)F)=O)O)=O;semisynthetic;0;2;1;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BETAMETHASONE VALERATE;glucocorticoid;NaN;476.257418;14  15  18  21;NaN;CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C;USP, INN, BAN, JAN;BETA-VAL;2152-44-5;;507.126714;-5.1;C27H37FO6;0.5;0.27;39.37;3.76648;-5.453313;0.29;-5.34;0.08;0.17;78.756803;563.91653;476.257417;CHEMBL3186310;"Arch Disease Childhood 48:856 (1973); Postgrad Med J 50 Suppl 4:50 (1974); 53:315 (1977)";;;CCCCC(=O)O[C@]1(C(CO)=O)[C@@H](C)CC2C3CCC4=CC(C=C[C@]4(C)[C@]3(C(C[C@]12C)O)F)=O;semisynthetic;0;2;2;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;5;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BETAXALOL;antihypertensive, beta-blocker, antianginal;2.7;307.214744;2   4   9  10;NaN;CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1;USP, INN, BAN, JAN;BETOPTIC;63659-19-8;1-(4-(2-(cyclopropyl-methoxy)-ethyl)-phenoxy)-3-(1-methyl-ethylamino)-propan-2-ol;398.011954;-5.04;C18H30NO3;6.86;0.45;98.78;1.43098;-4.088082;0.03;-4.87;0.06;0.1;43.764008;336.560842;308.222569;Betaxolol;"Br J Clin Pharmacol 9:569 (1980); 11:171 (1981); Therapie 37:75 (1982)";chloride;[Cl-];CC(C)[N+]CC(COc1ccc(CCOCC2CC2)cc1)O;"synthetic; SL-75212-10, ALO-1401-02";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
BEZAFIBRATE;antihyperlipidemic;NaN;361.108087;14  15  17  20;NaN;CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)[O-];USAN, INN, BAN, JAN;;41859-67-0;;387.947468;-5.04;C19H19ClNO4;11.22;0.23;397.96;3.806781;-4.464031;0.02;-5.01;0.02;0.02;59.120932;355.164376;360.100261;Bezafibrate;"Atherosclerosis 29:477 (1978); 31:421, 429 (1978); Drugs 33:539 (1987)";;;CC(C)(C([O-])=O)Oc1ccc(CCNC(c2ccc(cc2)[Cl])=O)cc1;"synthetic; BM-15075";1;0;0;0;0;0;0;0;1;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BICALUTAMIDE;antineoplastic;4;430.061042;2  4  5  7;NaN;CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1;USAN, INN, BAN;CASODEX;90357-06-5;4-(3-(4-fluoro-phenylsulfonyl)-2-hydroxy-2-methyl-propionylamino)-2-(trifluoro-methyl)-benzonitrile;388.300248;-5.39;C18H14F4N2O4S;199.99;0.21;891.75;2.866867;-4.119343;0.08;-5.08;0;0;85.283589;360.903478;430.06104;Bicalutamide;"J Med Chem 31:954 (1988); Horm Res 32 Suppl 1: 77 (1989); Suppl 3 10 (1990)";;;CC(CS(c1ccc(cc1)F)(=O)=O)(C(Nc1ccc(C#N)c(c1)C(F)(F)F)=O)O;"synthetic; ICI-176334";0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
BIPERIDEN;anticholinergic, antiparkinsonian;2.93;311.224914;3   6  11  15;NaN;OC(CC[NH+]1CCCCC1)(c1ccccc1)C1CC2C=CC1C2;USP, INN, BAN, JAN;AKINETON;514-65-8;1-(bicyclo[2.2.1]hept-5-en-2-yl)-1-phenyl-3-(piperidin-1-yl)-propan-1-ol;390.631168;-4.8;C21H30NO;3.43;0.66;112.37;3.745024;-2.616282;0.29;-4.57;0.02;0.03;20.05807;361.920842;312.23274;Biperiden;Toxicol Appl Pharmacol 2:379 (1960);;;C1CC[N+](CC1)CCC(C1CC2CC1C=C2)(c1ccccc1)O;synthetic;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BISACODYL;cathartic;3.78;361.131409;8   9  15  17;NaN;CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1;USP, INN, BAN, JAN;DULCOLAX;603-50-9;4-((4-acetyloxy-phenyl)-(pyridin-2-yl)-methyl)-phenyl ethanoate;395.797794;-4.7;C22H19NO4;2.42;0.11;252.21;3.447904;-4.709277;0.17;-4.98;0.01;0.03;50.245249;352.43508;361.131408;Bisacodyl;"Arzneim Forsch 3:19 (1953); J Clin Gastroenterol 36:386 (2003)";;;CC(=O)Oc1ccc(cc1)C(c1ccc(cc1)OC(C)=O)c1ccccn1;synthetic;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BISOPROLOL FUMARATE;beta-blocker, antihypertensive;2.46;325.225309;5   6  13  21;0.869211992;CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1;USP, JAN;ZEBETA;104344-23-2;1-(4-((2-(1-methyl-ethoxy)-ethoxy)-methyl)-phenoxy)-3-(1-methyl-ethylamino)-propan-2-ol;422.498099;-5.2;C18H32NO4;9.87;0.41;101.03;0.652179;-3.551513;0.04;-4.97;0.05;0.09;50.71345;339.051733;326.233134;Bisoprolol;"Br J Clin Pharmacol 18:343 (1984); Eur J Clin Pharmacol 27:135 (1984); Eur Heart J 6:8845 (1985)";maleate;C(=CC(O)=O)C(O)=O;CC(C)[N+]CC(COc1ccc(COCCOC(C)C)cc1)O;"synthetic; CL-297939,  EMD-33512";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
BROMOCRIPTINE MESYLATE;prolactin inhibitor, antiparkinsonian;NaN;653.221281;14  15  16  19;NaN;CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4[NH+](C)C3)(C(C)C)C(=O)N12;USP, BAN, JAN;PARLODEL;22260-51-1, 25614-03-3 [bromocriptine];;645.604737;-4.95;C32H41BrN5O5;4.81;0.27;70.57;3.705453;-7.234064;0.54;-5.43;0.13;0.11;95.188927;654.796758;654.229107;CHEMBL3039313;"Adv Drug Res 12:247 (1977); Drugs 36:67 (1988)";methyl sulfonate;CS([O-])(=O)=O;CC(C)CC1C(N2CCC[C@H]2C2(N1C([C@](C(C)C)(NC(C1C[N+](C)[C@@H]3Cc4c5c(cccc5[nH]c4[Br])C3=C1)=O)O2)=O)O)=O;semisynthetic;0;1;0;0;0;1;1;0;0;0;3;3;0;0;0;2;3;0;0;1;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BUDESONIDE;antiinflammatory;4.48;430.23554;11  12  15  16;NaN;CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1;USAN, INN, BAN, JAN;PULMICORT;51333-22-3 [11(gr b), 16(gr a)] 51372-29-3 [(11(gr b), 16(gr a)[//R//])] 51372-28-2 [(11(gr b), 16(gr a)[//S//])];;460.161754;-5.09;C25H34O6;1.61;0.18;39.63;3.167138;-4.551722;0.27;-5.12;0.03;0.12;76.058864;505.695905;430.235539;CHEMBL3039455;"Arzneim Forsch 29:1787 (1979); Drugs 28:485 (1984)";;;CCCC1O[C@@H]2CC3C4CCC5=CC(C=CC5(C)C4[C@H](CC3(C)[C@]2(C(CO)=O)O1)O)=O;semisynthetic;0;2;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUPROPION;antidepressant;2.18;239.107692;8   9  14  16;181.0226826;CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1;USP, INN, BAN;WELLBUTRIN;31677-93-7, 34911-55-2 [bupropion];1-(3-chloro-phenyl)-2-(1,1-dimethyl-ethylamino)-propan-1-one;294.045176;-4.25;C13H19ClNO;1.85;0.29;254.67;1.444544;-3.630125;0.02;-4.71;0;0;23.792214;253.648152;240.115517;Bupropion;"J Clin Psychiatry 56:395 (1995); Expert Opin Pharmacother 4:533 (2003)";chloride;[Cl-];CC(C(c1cccc(c1)[Cl])=O)[N+]C(C)(C)C;synthetic;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
BURAMATE;anticonvulsant, antipsychotic;2.5;195.089544;3   6   9  17;NaN;O=C(NCc1ccccc1)OCCO;USAN, INN;HYAMATE;4663-83-6;(2-hydroxy-ethoxy)-(phenyl-methylamino)-methanone;234.54626;-4.7;C10H13NO3;0.44;0;351.16;0.903926;-1.266643;0;-4.54;0;0.01;49.954017;187.532432;195.089543;Buramate;Med Chem Res 19:498 (2010);;;C(c1ccccc1)NC(=O)OCCO;"synthetic; AC-601, NSC-30223";0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUSPIRONE;5HT1a receptor agonist, anxiolytic;2.43;385.247775;5   6  10  11;22.11824069;O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(c2ncccn2)CC1;USP, INN, BAN;BUSPAR;33386-08-2, 36505-84-7 [buspirone];8-(4-(4-(pyrimidin-2-yl)-piperazin-1-yl)-butyl)-8-aza-spiro[4.5]decane-7,9-dione;454.329895;-4.88;C21H32N5O2;1.35;0.72;199.64;0.85139;-1.911962;0.08;-5.06;0.04;0.05;55.82248;420.309608;386.2556;Buspirone;"J Clin Psychiatry 43:1 (1982); Drugs 32:114 (1986); Pharmacotherapy 8:100 (1988)";chloride;[Cl-];C1CCC2(C1)CC(N(CCCC[N+]1CCN(CC1)c1ncccn1)C(C2)=O)=O;synthetic;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
CAMYLOFINE DIHYDROCHLORIDE;anticholinergic;3.09;320.246377;2   3  20  21;NaN;CC[NH+](CC)CCNC(C(=O)OCCC(C)C)c1ccccc1;INN, JAN;AVAFORTAN;54-30-8;3-methyl-butyl 2-(2-diethylamino-ethylamino)-2-phenyl-ethanoate;428.648062;-4.74;C19H33N2O2;0.34;0.63;134.97;2.464729;-2.752747;0.27;-4.57;0.01;0.03;35.719203;359.663836;321.254203;Camylofin;J Drug Target 18:589 (2010);chloride;[Cl-];CC[N+](CC)CCNC(C(=O)OCCC(C)C)c1ccccc1;synthetic;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
CAPECITABINE;antineoplastic;3.51;359.149265;8   9  12  13;NaN;CCCCCOC(=O)[N-]c1nc(=O)n(C2OC(C)C(O)C2O)cc1F;USP, INN, BAN;XELODA;154361-50-9;;375.876617;-5.18;C15H21FN3O6;1.05;0.26;188.66;0.569856;-3.403217;0.11;-5.64;0.01;0.04;96.74684;362.806608;358.141439;SCHEMBL2184815;"J Clin Oncol19:2282, 4097 (2001); Drugs61:2309 (2001)";;;CCCCCOC([N-]C1C(=CN(C2[C@@H]([C@@H]([C@@H](C)O2)O)O)C(N=1)=O)F)=O;"synthetic; RO-091978";0;2;2;0;0;2;0;0;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
CARBETAPENTANE CITRATE;antitussive;3.1;333.230394;5   6   9  16;NaN;CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1;NF-XIII, INN, BAN;TOCLASE;23142-01-0, 77-23-6 [carbetapentane];2-(2-diethylamino-ethoxy)-ethyl 1-phenyl-cyclopentanecarboxylate;427.737507;-4.85;C20H32NO3;0.55;0.71;177.03;2.985583;-2.861766;0.05;-4.52;0.01;0;33.255447;378.484835;334.238219;Pentoxyverine;"Arzneim Forsch 17:495 (1967); 22:389 (1972)";citrate;C(C(O)=O)C(CC(O)=O)(C(O)=O)O;CC[N+](CC)CCOCCOC(C1(CCCC1)c1ccccc1)=O;synthetic;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0
CARBINOXAMINE MALEATE;antihistaminic;2.24;290.118591;8   9  10  11;NaN;C[NH+](C)CCOC(c1ccc(Cl)cc1)c1ccccn1;USP, INN, BAN, JAN;CLISTIN;3505-38-2, 486-16-8 [carbinoxamine];2-((4-chloro-phenyl)-(pyridin-2-yl)-methoxy)-N,N-dimethyl-ethanamine;344.454621;-4.65;C16H20ClN2O;23.57;0.65;151.88;1.906111;-2.641635;0.14;-4.54;0;0.02;20.054304;281.286854;291.126416;Carbinoxamine;Ann Pharm Fr 20:463 (1962);maleate;C(=CC(O)=O)C(O)=O;C[N+](C)CCOC(c1ccc(cc1)[Cl])c1ccccn1;synthetic;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
CARISOPRODOL;muscle relaxant (skeletal);3.78;260.173607;7  13  17  18;NaN;CCCC(C)(COC(N)=O)COC(=O)NC(C)C;USP, INN, BAN;SOMA;78-44-4;amino-(2-methyl-2-(((1-methyl-ethylamino)-formyloxy)-methyl)-pentyloxy)-methanone;329.822719;-5.02;C12H24N2O4;1.32;0.15;164.94;2.30611;-3.078651;0;-4.87;0.01;0.01;74.493095;288.009191;260.173607;Carisoprodol;J Pharmacol Exp Therap 127:66 (1959);;;CCCC(C)(COC(N)=O)COC(NC(C)C)=O;synthetic;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CARVEDILOL;beta-adrenergic blocker;NaN;406.189258;17  18  20  21;NaN;COc1ccccc1OCC[NH2+]CC(O)COc1cccc2[nH]c3ccccc3c12;USAN, INN, BAN, JAN;COREG;72956-09-3;;452.484344;-5.52;C24H27N2O4;10.22;0.75;89.33;2.687087;-4.742752;0.28;-4.63;0.08;0.03;60.249865;402.402629;407.197082;Carvedilol;"Arzneim Forsch 40:735 (1990); N Engl J Med 334:1349 (1996); 339:1759 (1998)";;;COc1ccccc1OCC[N+]CC(COc1cccc2c1c1ccccc1[nH]2)O;"synthetic; BM-14190";0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
CELECOXIB;antiarthritic, cyclooxygenase2 inhibitor;NaN;381.075883;16  18  19  21;996.3835734;Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1;USAN, INN, BAN;CELEBREX;169590-42-5;4-(5-p-tolyl-3-(trifluoro-methyl)-1H-pyrazol-1-yl)-benzenesulfonamide;354.754734;-5.13;C17H14F3N3O2S;5.68;0.38;451.45;3.962209;-6.155793;0.24;-5.45;0;0.01;63.664557;315.451379;381.075882;Celecoxib;"Arthritis Rheum 41:1591 (1998); JAMA 284:1247 (2000); N Engl J Med 342:1946 (2000)";;;Cc1ccc(cc1)c1cc(C(F)(F)F)nn1c1ccc(cc1)S(N)(=O)=O;"synthetic; SC-58635";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
CETIRIZINE;H1 antihistamine;3.66;388.15537;2   3  17  19;NaN;O=C([O-])COCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1;USAN, INN, BAN;ZYRTEC;83881-52-1;;434.247228;-4.94;C21H25ClN2O3;6.68;0.83;561.55;2.116137;-4.08195;0.32;-4.65;0.05;0.05;43.519064;374.657226;388.15537;Cetirizine;"Allergy 56:50, 339 (2001); Expert Opin Pharmacother 5:125 (2004)";chloride;[Cl-];C1C[N+](CCN1C(c1ccccc1)c1ccc(cc1)[Cl])CCOCC([O-])=O;synthetic;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0
CHLORMEZANONE;anxiolytic, muscle relaxant;2.89;273.022644;3   5  19  21;NaN;CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1;USAN, INN, BAN, JAN;TRANCOPAL;80-77-3;;268.911025;-4.89;C11H12ClNO3S;19.24;0;543.47;1.074502;-2.556495;0;-5.36;0;0;44.914671;235.71549;273.022642;Chlormezanone;hepatotoxic at clinical dose (600mg);;;CN1C(c2ccc(cc2)[Cl])S(CCC1=O)(=O)=O;synthetic;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
CIMETIDINE;antiulcer;1.15;252.115716;2   3  16  18;79.25713241;CNC(=NC#N)NCCSCc1nc[nH]c1C;USP, INN, BAN, JAN;TAGAMET;51481-61-9;;291.11145;-5.15;C10H16N6S;2.05;0.23;384.64;0.0994;-2.219069;0.05;-5.24;0;0.08;69.425328;250.747143;252.115715;Cimetidine;"J Int Med Res 3:86 (1975); Br J Pharmacol 53:435p (1975); Scand J Gasroenterol 21 Suppl 121:1 (1986)";;;Cc1c(CSCCNC(NC)=NC#N)nc[nH]1;synthetic;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0
CITALOPRAM HYDROBROMIDE;antidepressant, 5HT reuptake inhibitor;2.64;324.163791;2   3  14  15;8.224085811;C[NH+](C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21;USAN;CELEXA;59729-33-8;7-(3-dimethylamino-propyl)-7-(4-fluoro-phenyl)-8-oxa-bicyclo[4.3.0]nona-1,3,5-triene-3-carbonitrile;373.073076;-4.95;C20H22FN2O;11.62;0.88;247.51;3.464867;-3.217902;0.09;-4.9;0.02;0.03;29.634678;348.89471;325.171617;Citalopram;"Eur J Pharmacol 41:153 (1977); J Clin Psychiatry 61:896 (2000); 63:331 (2002)";bromide;[Br-];C[N+](C)CCCC1(c2ccc(cc2)F)c2ccc(C#N)cc2CO1;synthetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
